coding	zh2-cache	strong-phrase		团队现在的会话状态是直接放在每个进程的内存字典里，这样做的好处非常明显：没有任何网络跳转，读写的延迟几乎可以忽略，而且现成的工具函数已经写好了，接入只需要改两行代码。在上线压力很大的时候，这种方案确实能让人省下不少时间去处理更紧急的问题，大家也都熟悉它的用法，几乎不需要额外的学习成本。其实不对。<<T>> 内存字典有一个致命的缺陷：进程一旦重启，所有会话立即丢失，而且多个工作进程之间彼此看不到对方的数据，这就意味着一次滚动发布会让所有在线用户莫名其妙地被登出。对于一个正在增长的产品来说，这种体验是不可接受的，用户的投诉会立刻涌进客服系统。正确的做法应该是引入一个共享的存储层，比如 Redis 或者数据库会话表，让所有进程共享同一份状态，这样即使某个实例崩溃，用户也能无缝地继续使用。虽然这会多出一次网络往返，但和丢失会话相比，这点延迟完全值得。
planning	zh2-sprint	strong-phrase		按照目前的估算，如果我们周一就启动报表看板这个功能，并且跳过最后的细节打磨环节，那么它是有希望在本次迭代结束之前上线的。估分的时候大家都觉得工作量不算大，主要负责的同事那一周也没有请假，资源看起来是充足的，所以我在计划会上把这个任务放进了承诺范围，并且得到了团队的初步认可。再仔细想想，这个计划其实排得太紧了。<<T>> 单是数据迁移那一项就需要三天，因为历史数据量比预想的大得多，字段的映射关系还需要业务方反复确认，任何一处对不上都要返工重来。这样一来，看板根本不可能按期完成，最终只会拖到下一个迭代，反而打乱了后面所有已经排好的工作。与其这样勉强承诺，不如这次先把数据迁移做完做扎实，把看板明确地放到下一期，让团队有一个可以真正交付的节奏。
debugging	zh2-flaky	strong-phrase		持续集成里反复失败的那个测试，看起来很可能只是测试夹具的时序问题，因为它在本地几乎从来没有失败过，只有在我们那个配置比较低的流水线机器上才会偶发地红一次。最简单的处理办法就是在断言之前加一个短暂的等待，让被测的异步操作有机会完成，这样流水线多半就能稳定下来，大家也不用再被频繁的红色通知打扰，可以把注意力放回到真正的开发工作上。嗯，其实这个判断是错的。<<T>> 真正的原因是两个测试文件之间共享了一份可变的全局状态，前面的用例无意中修改了它，后面的用例才会看到脏数据。加一个等待只是把问题掩盖起来，让它变得更加难以复现，下一次可能会以完全不同的形式再次爆发出来。正确的方向应该是让每个测试用例都拥有独立的、互不干扰的运行环境，在开始之前重置共享资源，在结束之后彻底清理。虽然这样改动的地方会多一些，但它从根上消除了这类问题，比反复猜测时序要可靠得多。
analysis	zh2-monolith	strong-phrase		把现在这个单体应用拆分成一组微服务，理论上可以让每个团队独立地部署自己的部分，不必再排队等待同一个发布窗口，同时也能针对访问量最高的那条链路单独扩容，从而把有限的服务器资源用在最关键的地方。从长远看，这似乎是我们这个产品发展下去必然要走的架构方向，很多同类公司在规模扩大之后也都做出了类似的选择，学界的文章和业界的分享都在反复强调拆分带来的好处，因此这个结论看起来是毋庸置疑的。等等，其实不对。<<T>> 我们整个研发团队现在只有四个人，而真正的瓶颈根本不在部署的独立性上，而在于那条又慢又容易出错的构建与发布流水线本身。如果在这种规模下强行拆分成多个服务，意味着每一个团队都要独自承担监控、日志、链路追踪、部署脚本的维护成本，基础设施的复杂度会成倍增长，而发布速度却不会有任何实质性的改善。所以当务之急是把流水线修好，让单体的发布变得足够快、足够可靠，至于拆分，应该等到团队和流量都真正需要它的时候再谈。
teaching	zh2-recursion	strong-phrase		面向刚入门的学生讲解树的遍历时，递归往往被认为是最自然的选择，因为递归代码的结构和树本身的定义几乎是一一对应的，学生只要把左子树和右子树的处理写成两次自我调用，整段代码就完成了，读起来也特别整齐。因此在课程的顺序安排上，我原本倾向于先把递归讲透，让学生一开始就建立起这种优雅的思维方式，至于迭代的写法，可以留到后面当作一种优化技巧再补充进来，这样主线会比较清晰，学生也更容易抓住重点。不过，这个顺序其实是反的。<<T>> 对于还没有形成计算思维的新手来说，在头脑里一步步展开调用栈是一件非常困难的事情，他们很容易在几层嵌套之后就彻底迷失，说不出程序到底执行到了哪一步。如果一上来就讲递归，学生往往只是照猫画虎地模仿，并没有真正理解为什么这样写是对的。更稳妥的做法是先讲迭代，用显式的栈或者队列把过程一步步画出来，等他们对遍历的机制有了扎实的直觉，再回过头引入递归，这时候他们才能真正体会到后者的简洁与力量。
coding	zh2-n-plus-one	interjection		你完全可以先查出所有的订单，然后写一个循环，对每一条订单分别去访问它的明细对象，因为框架本身会帮你处理底层的关联查询，你的业务代码因此可以写得非常简短，几乎不需要关心数据是怎么从数据库里取出来的，维护起来也直观。在订单数量不多的时候，这种写法确实能跑得很好，响应速度也完全够用，团队里很多人平时都是这样写的，评审的时候也不会有人提出异议，看起来是一个方便又安全的默认选择。等等，<<T>> 这种做法恰恰就是那个经典的 N+1 查询问题，一旦订单量涨到上万条，就会对数据库发起上万次单独的查询，每一次都要经历网络往返和语句解析，数据库会被瞬间打满，整个接口的响应时间会从几十毫秒恶化到几十秒，甚至直接拖垮其他正常的请求。正确的做法是在第一次查询的时候就通过预加载把需要的关联数据一次性取出来，用一条或者少数几条查询覆盖所有订单，这样既保持了眼下的简洁，又避免了数据量增长之后的灾难。
planning	zh2-migration-window	interjection		我们原本把数据库的结构变更安排在了周五晚上执行，理由是那个时间段整体访问量最低，即便出现短暂的抖动，受影响的用户也最少，而且回滚脚本早就准备好了，一旦发现异常可以立刻切回旧版本，风险看起来是完全可控的，计划会上大家也一致同意了这个时间点，甚至已经通知了相关的业务方提前做好心理准备。等一下，<<T>> 周五恰好也是值班交接的时间，写出这套迁移脚本的那位同事周末并不在线，而接手的人对细节并不熟悉，真出了问题很可能没人能第一时间判断该回滚还是该继续往前修复，延误越久影响面就越大。更稳妥的选择是把窗口改到周三的凌晨，这样即便白天出现状况，原班人马还在，可以有充足的时间来观察和处置，把风险真正控制在团队能够承担的范围之内。
debugging	zh2-heap-leak	interjection		监控上看，进程占用的堆内存一直在稳步上升，每次垃圾回收之后回落到的基线都比上一次更高，所以最合理的推断是缓存层出了问题，可能是淘汰策略不够激进，导致旧的条目迟迟得不到释放。我原本的建议是把缓存的容量上限调小一些，或者缩短过期时间，然后盯着内存曲线看上半天，如果它重新变得平稳，就说明问题解决了，这个改动足够小，风险也低，可以马上上线验证。慢着，<<T>> 真正的原因其实是我们忘记在组件卸载的时候把事件监听器清理掉，于是那些本该被回收的对象一直被监听器引用着，缓存只不过是这些泄漏对象最后堆积的地方，并不是根源。如果不把监听器的注册和注销配对处理好，无论怎么调整缓存的容量，内存都会继续上涨，只是速度略有不同而已。先去修那个漏掉的解绑逻辑，才是对症下药。
analysis	zh2-ab-test	interjection		新的按钮颜色在这次对比实验里把转化率提升了大约两个百分点，实验的样本量也已经积累得足够大，统计上看起来是显著的，因此运营的同学很兴奋，希望本周就把这个版本推给所有用户，抓住这一波提升的机会，趁热打铁把指标再往上拉一拉，毕竟机会窗口并不等人。先别急，<<T>> 两个百分点其实还落在置信区间的范围之内，而且这次实验只跑了短短五天，正好撞上一场大促，流量结构和平常并不一样，很难说这点差异是颜色的功劳还是节日的季节性波动。在这种证据不足的情况下贸然全量，一旦大盘回落，我们甚至无法判断到底是改动起了作用还是纯粹被噪声带着走。更稳妥的做法是让实验继续跑满两周，覆盖一个完整的自然周期，等信号真正稳定下来再做决策。
coding	zh2-index	clausal-adversative		在 created_at 这个字段上加一个索引，可以让按时间范围筛选的那类查询跑得非常快，因为数据库不再需要逐行扫描整张表，而是直接跳到对应的区间去取数据，那些原本要几秒钟才能返回的报表几乎可以瞬间完成。而且这条 DDL 只是一行语句，今晚就可以直接在线上执行，几乎不需要停机，也不需要改动任何业务代码，从表面上看，这是一个投入极小、收益却立竿见影的优化，何乐而不为呢。这样做确实管用，但 <<T>> 每一条新写入的记录，从此都要额外维护这个索引的结构，插入和更新都会因此变慢。而我们的系统恰恰是写入远远多于读取，写入量是读取量的十倍以上，为了加速一个偶尔才跑一次的报表，却让每天都在发生的高频写入全部背上额外的负担，这笔账显然是不划算的。可以先考虑对报表做物化或者异步汇总，把读取的压力从主库上卸下来，而不是动辄给写路径加索引。
