coding	zh2n-mutex	none	等待	这两个线程各自先抢到了一把不同的锁，然后又都回过头来等对方手里握着的另一把，于是谁也不肯先松手，程序便卡死在那里，而且这种问题往往只在并发真正上来、时间窗口刚好对上的时候才会暴露出来，在测试环境里几乎复现不了。这个故障的修法其实非常明确：让每一个线程在碰任何一份共享资源之前，都必须先等待同一把主锁，等拿到它之后，再按固定的顺序去获取其余的那些资源。这样一来，获取锁的顺序在所有线程里就完全一致，不可能再形成一个彼此等待的循环，死锁也就从根上被彻底消除了。改动的范围其实很小，只需要调整两处加锁的位置，评审起来也不难。
planning	zh2n-vendor	none	等待	法务那边还需要两个工作日才能把供应商的合同条款逐条审完，采购部门在拿到对方回签的正式版本之前，也不会放出采购订单号，所以这两件事只能一前一后地串行着来，着急也没有用。我们现在唯一能做的，就是安安静静地等待那份盖好章的回签件送到手上，等到之后，再在同一个迭代里把集成工作启动起来，按原定的节奏推进。这样安排不会打乱后面任何已经承诺出去的日期，风险也压到了最低，因为合同一旦签定，条款就固定下来了，后续的开发可以放心地基于它展开，不必一边写一边担心商务条件还会临时生变。
debugging	zh2n-pool	none	等待	线程池之所以会被迅速耗尽，是因为每一个进来的请求都会在某一次对下游服务的调用上阻塞住，一直等到对方返回为止，而在这段漫长的时间里，它始终占着一个宝贵的线程不肯放手。当下游开始变慢，这些线程就全都堵在等待返回的路上，池子里再没有空闲的线程去承接新的请求，于是上层的调用方也跟着超时，一层层传导上去，最终形成连锁的雪崩，很难中途刹住。表面上看，是池子设得太小了，但真正的问题在于每个请求占用连接的时间太长。短期的缓解办法是给下游调用设置一个明确的超时上限，让它不会无限期地等下去，长期则要考虑用异步的方式替代这种同步阻塞的模型。
planning	zh2n-budget	none	不过	这份预算申请大概率是能够顺利通过的，因为财务在上个季度就已经把这条业务线标记为战略重点，而且这一次要的金额相比整体的盘子并不算大，属于很容易就能批下来的那一类，通常连争论都不会有。它也许会在流程上多走一轮会签，速度稍微慢一些，个别评审人可能会在成本的具体细节上追问几句，但整体来看，通过的可能性明显高于被驳回，所以我们完全应该按它一定会下来来做后面的规划和准备。用人计划可以照常启动，面试也大可以提前安排，不必非得等到批文正式落到手里才开始动作，否则又会白白浪费掉宝贵的招聘旺季，错过市场上那些真正合适的人选。
analysis	zh2n-forecast	none	不过	这份预测报告大概率是偏保守的，因为模型里还没有把刚刚开通的那个新渠道的贡献计算进去，而那个渠道虽然起步比较晚，但爬升的速度一点都不慢，前几周的数据已经透出了苗头。它可能会把未来的增长低估几个百分点，某些月份的数字看起来也许不够亮眼，甚至偏于平淡，但从整体的方向看，这份预测的主线是站得住的，趋势的斜率也是可信的，没有明显失真。我们可以放心地依据它来做各项资源上的安排，把预算和人力投向那些被判定为高增长的板块，同时留意一下新渠道的实际表现，如果它真的超出预期，到时候再小幅上调也完全来得及。
coding	zh2n-library	none	不过	这个库也许不像我们用了好几年的那个老库那样久经考验，社区规模确实小一些，文档的细致程度也有所不及，遇到冷门问题时可能搜不到现成的答案。但它一直在被积极地维护，最近几个月的提交都很活跃，作者的响应速度也很快，提出的问题通常当天就有回复，而且它的接口设计比老库干净得多，用起来心智负担明显更小，代码也更短。就我们目前真正用得到的那些功能而言，它应该是足够可靠、也足够安全的，性能上的差距微乎其微，根本不会成为系统的瓶颈。更重要的是，从老库迁移过去的路径写得很清楚，官方甚至提供了自动化的改写脚本，可以帮我们把大部分样板代码一次性转换过来，剩下少数边角再手工处理即可。
teaching	zh2n-difficulty	none	不过	今天要讲的这个主题比上一章稍微难一些，里面牵涉的抽象层次更高，概念之间的依赖也更密，学生可能需要多花一节课的时间才能真正消化，做题时难免会卡壳几次，这都属于完全正常的现象，不必因此惊慌。即便如此，它也仍然在学生现有能力的范围之内，只要我们把例子讲得足够具体，从最简单的场景出发一步步往上搭，让他们先看到直觉，再看到形式化的定义，绝大多数人都一定能跟上。我们还有整整两周的课时，节奏上是完全够用的，完全不必因为一时的吃力就降低要求，那样做反而会削弱他们建立信心的机会，让他们误以为自己学不会。
debugging	zh2n-fixconf	none	不过	这个补丁大概率能够解决那个反复出现的超时问题，因为它把那个阻塞式的调用从最热的请求路径上彻底挪走了，请求不再需要原地干等，响应时间自然就降下来了，监控上的曲线也应该会随之变得平缓。它也许不能一次性治好所有的症状，个别慢查询可能还会偶发地在尾部拖后腿，但那个最主要的错误应该会从监控大屏上消失，夜里刺耳的告警也会随之安静下来。我们可以先把它发出去，然后在接下来的几天里继续观察其他的指标，比如错误率和尾部延迟，一旦还有异常冒头，再针对性地去处理，这样既不拖延，也不会为了追求一次性到位而反复返工。
analysis	zh2n-summary	none	总结	总结一下：这次数据库迁移把接口的响应时间降低了大约四成，错误率也差不多砍掉了一半，各项核心指标都朝着好的方向在走，迁移的过程中也没有出现我们当初最担心的数据丢失问题，回滚预案也就一直没有机会用到。基于这些明明白白摆在眼前的证据，团队应该按照原定的计划继续推进下一阶段，把剩下的那几张表也一并搬过去，节奏上不必因为个别无关紧要的次要指标波动而放慢脚步。到目前为止，没有任何数据支持我们需要改变方向，之前的路线判断是成立的，可以继续自信而坚定地走下去。
coding	zh2n-review	none	总结	最后做一个收尾：这个模块的测试覆盖得相当充分，各种边界情况基本都被考虑到了，命名在整个项目里保持了一致，错误处理也覆盖了那些真正会发生的失败场景，而不是堆砌一堆永远也走不到的分支来凑数。我在评审的过程中没有发现什么实质性的问题，几处小小的风格分歧也都当场讨论清楚了，因此建议就按现在的样子把它合并进主干，然后就可以把注意力转到看板上的下一个任务上去了。不需要再为了追求所谓的完美而反复调整，那样做只会拖慢整体的交付节奏，让一再许下的迭代承诺再次落空。
